nid,type,path
341069,"teaser image",/sites/default/files/tes170317_17_hero.jpg
341741,"teaser image",/sites/default/files/news_article_images/tes240317_54_hero.jpg
341813,"teaser image",/sites/default/files/news_article_images/tes240317_72_hero.jpg
342086,"teaser image",/sites/default/files/podcast_image_8.png
342212,"teaser image",/sites/default/files/sadness_0.jpg
342338,"teaser image",/sites/default/files/gcse_a_level_0.jpg
342407,"teaser image",/sites/default/files/news_article_images/geoff_barton2_5.jpg
342461,"teaser image",/sites/default/files/tes310317_26_hero.jpg
342527,"teaser image",/sites/default/files/news_article_images/tes310317_65_hero.jpg
343052,"teaser image",/sites/default/files/chris_jones.jpg
343979,"teaser image",/sites/default/files/news_article_images/apprentice_2_1.jpg
344939,"teaser image",/sites/default/files/break_time.jpg
346309,"teaser image",/sites/default/files/cowboy2.jpg
347080,"teaser image",/sites/default/files/news_article_images/toby-young.png
347560,"teaser image",/sites/default/files/news_article_images/tes190517_57_hero.jpg
347572,"teaser image",/sites/default/files/news_article_images/tes190517_51_hero.jpg
348529,"teaser image",/sites/default/files/polling_station.png
348598,"teaser image",/sites/default/files/grammar_school_7.jpg
348988,"teaser image",/sites/default/files/news_article_images/tes020617_10_hero.jpg
349006,"teaser image",/sites/default/files/tes020617_45_hero.jpg
349726,"teaser image",/sites/default/files/news_article_images/tes090617_56_hero.jpg
351187,"teaser image",/sites/default/files/news_article_images/tes230617_52_hero.jpg
351346,"teaser image",/sites/default/files/news_article_images/tes230617_feat1_hero.jpg
351496,"teaser image",/sites/default/files/amanda-spielman-ofsted_0_1.png
352021,"teaser image",/sites/default/files/news_article_images/tes300617_59_hero_0.jpg
352228,"teaser image",/sites/default/files/news_article_images/hywel7.png
352408,"teaser image",/sites/default/files/satstests2_7.jpg
352792,"teaser image",/sites/default/files/tess070717_21_hero.jpg
352858,"teaser image",/sites/default/files/leadership_1.png
352882,"teaser image",/sites/default/files/discussion.jpg
353170,"teaser image",/sites/default/files/vonniesandlan_crop.jpg
353884,"teaser image",/sites/default/files/justine_greening2_0_0.jpg
